Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang,Phonetic,Audio,CEFR
abandon,Cease to support or look after (someone); desert,terk etmek,She decided to abandon her plans.,verb,"abandons, abandoning, abandoned","desert, leave","support, keep","abandon a plan, abandon a child",luyện trí não,en,/əˈbæn.dən/,https://api.dictionaryapi.dev/media/pronunciations/en/abandon-us.mp3,B2
abandoned,Having been deserted or left,terk edilmiş,The house was abandoned.,adjective,none,"deserted, forsaken","inhabited, populated","abandoned house, abandoned car",khác,en,/əˈbæn.dn̩d/,https://api.dictionaryapi.dev/media/pronunciations/en/abandoned-us.mp3,B2
ability,Possession of the means or skill to do something,yetenek,She has the ability to learn languages quickly.,noun,abilities,"talent, skill","inability, incapacity","intellectual ability, physical ability",luyện trí não,en,/əˈ.bɪl.ɪ.ti/,https://api.dictionaryapi.dev/media/pronunciations/en/ability-us.mp3,B1
able,"Having the power, skill, means, or opportunity to do something",yapabilmek,She is able to solve the problem.,adjective,"abler, ablest","capable, competent","unable, incapable","able to, able-bodied",luyện trí não,en,/ˈeɪ.bl̩/,https://api.dictionaryapi.dev/media/pronunciations/en/able-us.mp3,A1
about,On the subject of; concerning,hakkında,They talked about the project.,preposition,none,"regarding, concerning",none,"about a topic, about 5 o'clock",nghề nghiệp,en,/əˈbɛʊt/,https://api.dictionaryapi.dev/media/pronunciations/en/about-us.mp3,A1
above,At a higher level or layer,üzerinde,The birds flew above the trees.,"preposition, adverb","above-mentioned, above-named","over, higher than","below, under","above average, above all",khác,en,/əˈbʌv/,https://api.dictionaryapi.dev/media/pronunciations/en/above-us.mp3,A1
abroad,In or to a foreign country or countries,yurtdışında,She studied abroad for a year.,adverb,none,"overseas, internationally","domestically, locally","study abroad, travel abroad",du lịch,en,/əˈbɹɔːd/,https://api.dictionaryapi.dev/media/pronunciations/en/abroad-us.mp3,B1
absence,The state of being away from a place or person,yokluk,Her absence was noticed.,noun,absences,"nonattendance, nonexistence","presence, attendance","leave of absence, in the absence of",khác,en,/ˈæb.s(ə)n̩s/,https://api.dictionaryapi.dev/media/pronunciations/en/absence-us.mp3,B1
absent,"Not present in a place, at an occasion, or as part of something",yok,He was absent from the meeting.,adjective,absently,"missing, away","present, available","absent from school, absent-minded",nghề nghiệp,en,/ˈæb.sn̩t/,https://api.dictionaryapi.dev/media/pronunciations/en/absent-1-us.mp3,A2
absolute,Not qualified or diminished in any way; total,mutlak,There is absolute silence in the room.,adjective,absolutely,"complete, total","partial, relative","absolute truth, absolute power",khác,en,/ˈæb.səˌljuːt/,https://api.dictionaryapi.dev/media/pronunciations/en/absolute-uk.mp3,B1
