Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang
abandon,Cease to support or look after (someone); desert,terk etmek,She decided to abandon her plans.,verb,"abandons, abandoning, abandoned","desert, leave","support, keep","abandon a plan, abandon a child",luyện trí não,en
abandoned,Having been deserted or left,terk edilmiş,The house was abandoned.,adjective,none,"deserted, forsaken","inhabited, populated","abandoned house, abandoned car",khác,en
ability,Possession of the means or skill to do something,yetenek,She has the ability to learn languages quickly.,noun,abilities,"talent, skill","inability, incapacity","intellectual ability, physical ability",luyện trí não,en
able,"Having the power, skill, means, or opportunity to do something",yapabilmek,She is able to solve the problem.,adjective,"abler, ablest","capable, competent","unable, incapable","able to, able-bodied",luyện trí não,en
about,On the subject of; concerning,hakkında,They talked about the project.,preposition,none,"regarding, concerning",none,"about a topic, about 5 o'clock",nghề nghiệp,en
above,At a higher level or layer,üzerinde,The birds flew above the trees.,"preposition, adverb","above-mentioned, above-named","over, higher than","below, under","above average, above all",khác,en
abroad,In or to a foreign country or countries,yurtdışında,She studied abroad for a year.,adverb,none,"overseas, internationally","domestically, locally","study abroad, travel abroad",du lịch,en
absence,The state of being away from a place or person,yokluk,Her absence was noticed.,noun,absences,"nonattendance, nonexistence","presence, attendance","leave of absence, in the absence of",khác,en
absent,"Not present in a place, at an occasion, or as part of something",yok,He was absent from the meeting.,adjective,absently,"missing, away","present, available","absent from school, absent-minded",nghề nghiệp,en
absolute,Not qualified or diminished in any way; total,mutlak,There is absolute silence in the room.,adjective,absolutely,"complete, total","partial, relative","absolute truth, absolute power",khác,en
absolutely,"With no qualification, restriction, or limitation; totally",kesinlikle,She is absolutely certain.,adverb,"absolute, absolutism","completely, totally","partially, incompletely","absolutely right, absolutely certain",khác,en
absorb,"Take in or soak up (energy, or a liquid or other substance) by chemical or physical action",emmek,The sponge absorbs water.,verb,"absorbs, absorbing, absorbed","soak up, take in","release, exude","absorb water, absorb information",thức ăn,en
abuse,Use (something) to bad effect or for a bad purpose; misuse,kötüye kullanmak,He was accused of abuse.,"noun, verb","abuses, abusing, abused","misuse, mistreat","use properly, care","substance abuse, abuse of power",khác,en
academic,Relating to education and scholarship,akademik,She received academic awards.,"adjective, noun","academia, academically","educational, scholarly","nonacademic, unscholarly","academic year, academic achievement",trường học,en
accent,"A distinctive mode of pronunciation of a language, especially one associated with a particular nation, locality, or social class",aksan,He spoke with a British accent.,"noun, verb","accents, accenting, accented","pronunciation, intonation",none,"British accent, strong accent",văn hóa,en
accept,Consent to receive or undertake (something offered),kabul etmek,She accepted the job offer.,verb,"accepts, accepting, accepted","agree, receive","reject, refuse","accept an offer, accept responsibility",nghề nghiệp,en
acceptable,Able to be agreed on; suitable,kabul edilebilir,The proposal is acceptable.,adjective,"acceptably, acceptability","satisfactory, suitable","unacceptable, unsuitable","socially acceptable, acceptable behavior",khác,en
access,A means of approaching or entering a place,erişim,She has access to the library.,"noun, verb","accesses, accessing, accessed","entry, admittance","exit, egress","internet access, access to information",trường học,en
accident,"An unfortunate incident that happens unexpectedly and unintentionally, typically resulting in damage or injury",kaza,She was injured in a car accident.,noun,"accidents, accidental","mishap, misfortune","intentional, deliberate","traffic accident, car accident",du lịch,en
accidental,"Happening by chance, unintentionally, or unexpectedly",tesadüfi,It was an accidental discovery.,"adjective, noun",accidentally,"unintentional, chance","intentional, deliberate","accidental damage, accidental discovery",luyện trí não,en
accidentally,By chance; in a way that was not planned or intended,kazara,She accidentally spilled the milk.,adverb,"accident, accidental","unintentionally, by chance","deliberately, intentionally","accidentally discovered, accidentally spilled",luyện trí não,en
accommodation,"A room, group of rooms, or building in which someone may live or stay",konaklama,She found accommodation at a hotel.,noun,accommodations,"lodging, housing",homelessness,"student accommodation, temporary accommodation",du lịch,en
accompany,Go somewhere with (someone) as a companion or escort,eşlik etmek,She will accompany him on the trip.,verb,"accompanies, accompanying, accompanied","escort, chaperone","desert, abandon","accompany on a trip, accompany to the event",du lịch,en
according to,As stated by or in,göre,"According to the report, it will rain tomorrow.",preposition,accord,"as per, in agreement with","disagreeing, contrary to","according to plan, according to the law",nghề nghiệp,en
account,A report or description of an event or experience,hesap,She gave an account of the event.,"noun, verb","accounts, accounting, accounted","report, description","ignorance, neglect","bank account, user account",nghề nghiệp,en
account for,To be the explanation or cause of something,hesap vermek,His injury accounts for his absence.,verb,"accounts for, accounting for, accounted for","explain, justify","misaccount, misexplain","account for expenses, account for the delay",khác,en
accurate,Correct in all details; exact,doğru,She provided an accurate report.,adjective,"accuracy, accurately","correct, precise","inaccurate, incorrect","accurate information, accurate measurement",nghề nghiệp,en
